Order ID,Order Date,Product Name,Category,Region,Customer ID,Quantity,Unit Price,column K,column L,Status,Sales Representative,,,,Metric,Value,,status,count
ORD-10396-2025-TX,2025-04-07,Laptop,Electronics,Central,CUST-4787,5,"$1,495.00",7475,High Value,Pending,David,,,,Total Revenue,1451015,,shipped,605
ORD-10833-2025-TX,2024-05-27,Monitor,Electronics,East,CUST-8663,5,"$1,479.00",7395,High Value,Shipped,Alice,,,,Completed Revenue,887097,,pending,195
ORD-10749-2025-CA,2024-03-25,Laptop,Electronics,West,CUST-9424,5,"$1,478.00",7390,High Value,Shipped,Alice,,,,Pending Orders,195,,cancelled,200
ORD-10692-2025-AZ,2025-04-12,Monitor,Electronics,North,CUST-8193,5,"$1,467.00",7335,High Value,Pending,Frank,,,,,,,,
ORD-10789-2025-AZ,2024-05-11,Monitor,Electronics,Central,CUST-5552,5,"$1,461.00",7305,High Value,Cancelled,David,,,,,,,,
ORD-10280-2025-AZ,2024-06-10,Laptop,Electronics,North,CUST-5154,5,"$1,415.00",7075,High Value,Shipped,Alice,,,,,,,,
ORD-10637-2025-CA,2025-05-06,Laptop,Electronics,East,CUST-2706,5,"$1,370.00",6850,High Value,Shipped,Eve,,,,,,,shipped,605
ORD-10838-2025-TX,2024-02-26,Monitor,Electronics,Central,CUST-8278,5,"$1,337.00",6685,High Value,Pending,Eve,,,,,,,,
ORD-10443-2025-CA,2025-01-19,Printer,Electronics,South,CUST-7069,5,"$1,325.00",6625,High Value,Shipped,David,,,,,,,,
ORD-10783-2025-CA,2024-04-03,Laptop,Electronics,West,CUST-3828,5,"$1,294.00",6470,High Value,Shipped,Alice,,,,,,,,
ORD-10497-2025-CA,2024-08-02,Router,Electronics,Central,CUST-7867,5,"$1,289.00",6445,High Value,Cancelled,Alice,,,,,,,,
ORD-10485-2025-CA,2024-08-29,Monitor,Electronics,West,CUST-6618,5,"$1,278.00",6390,High Value,Cancelled,Charlie,,,,,,,,
ORD-10470-2025-TX,2025-02-10,Laptop,Electronics,Central,CUST-9200,5,"$1,251.00",6255,High Value,Cancelled,Frank,,,,,,,,
